"Total.Household.Income","Total.Food.Expenditure","Agricultural.Household.indicator","Bread.and.Cereals.Expenditure","Total.Rice.Expenditure","Meat.Expenditure","Total.Fish.and..marine.products.Expenditure","Fruit.Expenditure","Vegetables.Expenditure","Restaurant.and.hotels.Expenditure","Alcoholic.Beverages.Expenditure","Tobacco.Expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Imputed.House.Rental.Value","Medical.Care.Expenditure","Transportation.Expenditure","Communication.Expenditure","Education.Expenditure","Miscellaneous.Goods.and.Services.Expenditure","Special.Occasions.Expenditure","Crop.Farming.and.Gardening.expenses","Total.Income.from.Entrepreneurial.Acitivites","Household.Head.Age","Total.Number.of.Family.members","Members.with.age.less.than.5.year.old","Members.with.age.5...17.years.old","Total.number.of.family.members.employed","House.Floor.Area","House.Age","Number.of.bedrooms","Electricity","Number.of.Television","Number.of.CD.VCD.DVD","Number.of.Component.Stereo.set","Number.of.Refrigerator.Freezer","Number.of.Washing.Machine","Number.of.Airconditioner","Number.of.Car..Jeep..Van","Number.of.Landline.wireless.telephones","Number.of.Cellular.phone","Number.of.Personal.Computer","Number.of.Stove.with.Oven.Gas.Range","Number.of.Motorized.Banca","Number.of.Motorcycle.Tricycle"
392819,81659,0,36290,22868,10281,5971,1516,7200,2020,3900,0,10355,22944,6000,1597,2568,600,1575,12630,7170,0,307456,37,4,0,2,1,27,35,2,1,1,0,1,1,0,0,0,0,4,1,1,0,0
621850,194283,2,18544,11700,27270,15974,3811,7014,35140,846,0,31497,159708,120000,13496,22230,16194,0,28812,22500,0,0,37,4,1,0,1,206,35,4,1,2,1,0,1,1,1,0,0,2,1,1,0,1
121991,62240,0,16467,12309,4902,10346,2210,4487,15600,0,0,4240,8586,4800,2666,5274,2496,8390,5562,1000,13232,60106,55,3,0,0,0,25,20,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0
164363,71216,2,23226,16030,9869,17001,2155,3290,1810,0,0,4715,18666,7500,122,4764,1320,3065,9402,600,0,6480,46,4,0,2,2,18,24,2,1,1,0,0,0,0,0,0,0,3,0,0,0,1
298640,50290,0,12789,7020,2548,18602,3026,5279,0,0,650,1770,24474,17400,215,4560,3000,0,5190,0,0,37200,51,2,0,0,1,35,14,2,1,1,1,0,0,0,0,0,0,2,0,0,0,1
182744,90726,0,29997,18100,5299,9466,1583,2339,19540,350,2172,4717,21510,10800,1186,1140,3822,460,11094,700,0,0,31,5,1,2,1,50,10,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0
60950,32729,1,8252,6420,1380,3403,1865,5962,1100,0,0,0,13770,6000,0,360,306,720,1296,0,34745,34745,56,3,0,2,0,30,22,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
675258,104274,0,29203,17947,11400,13781,7438,9582,7920,0,0,22465,55170,15000,8753,16980,17442,61100,51900,10500,0,412000,48,3,0,1,1,24,5,1,1,3,1,1,1,1,1,2,2,1,1,0,0,1
113940,49155,0,17802,16785,9458,4744,905,3090,8000,0,0,3085,18510,3600,5000,17076,1440,1840,5544,0,38975,38975,21,3,0,2,0,80,22,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
76468,64029,1,18819,11340,17680,10260,3725,6670,0,1170,520,1425,7428,4200,20544,11022,780,1500,2010,0,62735,62735,69,2,0,0,0,22,12,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0
